epoch,train_l1,val_l1
1,0.2639948663281976,0.1630299162004412
2,0.15952026919677584,0.1480357424363511
3,0.14893803090323532,0.14007066389949052
4,0.14101183277184248,0.13572184698824757
5,0.13648911130869718,0.13137392764580344
6,0.13357955568701974,0.12946848180422396
7,0.13014318676171738,0.13513223386507264
8,0.1285025126220525,0.12373736580110498
9,0.12743281446305346,0.12673210505425997
10,0.12664210308499124,0.12325106736993735
11,0.12524144392721767,0.12140139073713811
12,0.12386696885326524,0.12157757424953194
13,0.12275459097191371,0.12001502274920714
14,0.12198918066015375,0.11871904421508107
15,0.12097470044714301,0.1189301380586788
16,0.1201837586082792,0.1207614415255882
17,0.11932971930117807,0.1189745706586084
18,0.11912422568527459,0.11688360586369843
19,0.1177679080488133,0.11773809390345254
20,0.11752426958384443,0.11507989631758796
21,0.11665404230481356,0.11466539469371546
22,0.11695125059311529,0.11449815914939496
23,0.11610578180102693,0.11515383137323876
24,0.11570939415396739,0.11393440203295267
25,0.11474941621028159,0.11351535870413054
26,0.11394603127327595,0.11380943167796796
27,0.11394947163740754,0.11487306861840572
28,0.11412589120692705,0.11208009506487218
29,0.1132351351845718,0.11219823584045878
30,0.11335992825245156,0.11256453809664421
31,0.11319414978530028,0.11218683640093874
32,0.11284540799631389,0.11197784028409682
33,0.1122120994307079,0.11149431607192052
34,0.11243760550802545,0.11091147608124786
35,0.11189079670611646,0.111058274290406
36,0.11179384093564314,0.11032062727970765
37,0.11115216637862853,0.11157294744273641
38,0.11112295240182764,0.11110254769711697
39,0.11085969184263773,0.11116715674240564
40,0.11075556262586238,0.1111899870538493
41,0.11055766186545499,0.11122821156204361
42,0.1101143592244524,0.11044165151532982
43,0.11023175360509072,0.10979629483795111
44,0.10985688080024986,0.10949416320348523
45,0.10940310430956761,0.10959342722903685
46,0.10986220622858271,0.10939162438746033
47,0.10924276658552477,0.10877692936690266
48,0.10891790833086712,0.10937243496053954
49,0.10962061062388816,0.10891091151916148
50,0.10908442451072901,0.10906373822948504
51,0.10842293476820265,0.108600687931152
52,0.10838247831749209,0.10881455996226336
53,0.10845438244973359,0.10837829462065866
54,0.10814431671848096,0.10863966147446277
55,0.10796521401751176,0.1085266084980992
56,0.10771917741172625,0.1083693408235515
57,0.10787814044629303,0.10773322459860765
58,0.1076071534425737,0.10776166838912757
59,0.10757013907382804,0.10834768842927096
60,0.1072278854768154,0.10774496549320112
61,0.10710444558378182,0.10741641753079009
62,0.10714614097437099,0.10787229669223809
63,0.10693791519008167,0.10744892485772621
64,0.10680820150053187,0.10769128361620854
65,0.1066113506984295,0.1073495595196405
66,0.10646200188775602,0.10741237002208334
67,0.10636684367058007,0.10737330151587418
68,0.1063728272869381,0.10688954328889835
69,0.10657269189487145,0.10722257117532782
70,0.10622838566622247,0.10699786877372694
71,0.10599609867320411,0.10698261024069813
72,0.10589688876412694,0.10673138017063152
73,0.10577110101577056,0.10674161100408056
74,0.10580922395108477,0.10666275809584068
75,0.10580174977777265,0.10669863549192336
76,0.1056079547859388,0.10640289671164335
77,0.1055675479533078,0.10670400765070527
78,0.10540750183810683,0.10635785320677708
79,0.10538040609388713,0.10631046796650684
80,0.10532310480193367,0.10597039803538262
81,0.10516511484220262,0.10614183570715979
82,0.10514213318363798,0.10649425040542192
83,0.10514967542467325,0.10599507934244227
84,0.10518014468541809,0.10604539112468492
85,0.10515570704176887,0.10616302203476634
86,0.10497541053481102,0.1058705538545414
87,0.10489059324190353,0.1060352908684216
88,0.10485646998378699,0.10612394446496429
89,0.10484478401499162,0.10596811735548105
90,0.10478414904943843,0.10619478066796426
91,0.10468743266169238,0.10617927052208648
92,0.10476525950968789,0.10604677671078008
